date;category;title;detail
15.09.2026;Zellbiologie & Enzyme;Start in die Kursstufe & Einstieg Biomembran;"Organisation; Notentransparenz; GFS; Sicherheitsbelehrung; Themenüberblick; Aktivierung von Vorwissen; Zelle als Grundbaustein des Lebens; Kompartimentierung; Biomembran als Abgrenzung von Reaktionsräumen"
21.09.2026;Zellbiologie & Enzyme;Aufbau und Modell der Biomembran;"Phospholipide; hydrophil/hydrophob; Lipiddoppelschicht; Membranproteine; Flüssig-Mosaik-Modell; Struktur-Funktions-Bezug und Grenzen von Modellen"
28.09.2026;Zellbiologie & Enzyme;Passiver Stofftransport;"einfache und erleichterte Diffusion; Kanal- und Carrierproteine; Konzentrationsgefälle; Osmose als Wiederholung und Anwendung"
29.09.2026;Zellbiologie & Enzyme;Aktiver Transport und Membranfluss;"aktiver Transport unter Energieaufwand; Endo- und Exocytose; Transportmechanismen vergleichen und auf Beispiele anwenden"
12.10.2026;Zellbiologie & Enzyme;Proteine – Struktur und Funktion;"Aminosäure-Grundbau; Peptidbindung; Polypeptid; Primär-, Sekundär-, Tertiär- und Quartärstruktur; Denaturierung; Struktur-Funktions-Bezug"
13.10.2026;Zellbiologie & Enzyme;Enzyme als Biokatalysatoren;"aktives Zentrum; Enzym-Substrat-Komplex; Substrat- und Wirkungsspezifität; Modellvorstellungen; Einfluss von Enzymen auf Reaktionsabläufe"
19.10.2026;Zellbiologie & Enzyme;Enzymaktivität untersuchen – Planung;"Temperatur, pH-Wert und Substratkonzentration; Hypothesen formulieren; unabhängige/abhängige Variable; Kontrollansatz; Versuchsplanung"
02.11.2026;Zellbiologie & Enzyme;Enzymexperiment durchführen;"z. B. Katalase, Amylase oder Urease; Messwerte systematisch erheben und dokumentieren; Versuchsbedingungen kontrollieren"
09.11.2026;Zellbiologie & Enzyme;Enzymexperiment auswerten & Enzymhemmung;"Messwerte grafisch darstellen und interpretieren; Optimum und Sättigung; Fehlerbetrachtung; reversible und irreversible Hemmung an konkreten Beispielen"
10.11.2026;Stoffwechsel;Warum braucht Leben ständig Energie?;"Lebewesen als offene Systeme; auf- und abbauender Stoffwechsel; ATP/ADP als energetische Kopplung; Redoxprinzip; Gesamtgleichung der Zellatmung"
16.11.2026;Stoffwechsel;Mitochondrium, Zellatmung und Glykolyse – Überblick;"Bau des Mitochondriums und Kompartimentierung; Teilprozesse räumlich zuordnen; Glykolyse mit Ausgangs-/Endprodukten, ATP und Reduktionsäquivalenten"
23.11.2026;Stoffwechsel;Oxidative Decarboxylierung und Citratzyklus;"Verbindung von Glykolyse und Citratzyklus; C-Körper-Prinzip; CO₂-Abgabe; NADH/FADH₂; Stoff- und Energiebilanz ohne unnötige Zwischenprodukte"
24.11.2026;Stoffwechsel;Atmungskette und Protonengradient;"Elektronentransport an der inneren Mitochondrienmembran; Protonentransport; Sauerstoff als Elektronenakzeptor; Aufbau des Gradienten"
30.11.2026;Stoffwechsel;Chemiosmose und ATP-Bildung;"Protonengradient; ATP-Synthase; chemiosmotisches Prinzip; Zusammenhang zwischen Atmungskette und oxidativer Phosphorylierung"
07.12.2026;Stoffwechsel;Zellatmung – Bilanz, Vernetzung und Transfer;"Teilprozesse zu einem Gesamtmodell verknüpfen; Stoff- und Energiebilanzen vergleichen; ATP, Redoxreaktionen und Kompartimentierung anwenden"
08.12.2026;Stoffwechsel;Fotosynthese – vom Blatt zum Chloroplasten;"Gesamtgleichung; Blattbau; Chloroplast und Thylakoidsystem; Angepasstheiten an die Fotosynthese auf verschiedenen Systemebenen"
14.12.2026;Stoffwechsel;Licht und Blattpigmente;"Chlorophyll und weitere Pigmente; Absorptionsspektrum und Wirkungsspektrum; Zusammenhang von Lichtabsorption und Fotosyntheseleistung; ggf. Chromatografie"
21.12.2026;Stoffwechsel;Primärreaktionen I – Lichtaufnahme und Elektronentransport;"Lichtabsorption; Elektronenanregung; Elektronentransport; Bildung von Reduktionsäquivalenten; Funktion der Thylakoidmembran"
22.12.2026;Stoffwechsel;Primärreaktionen II – Chemiosmose;"Protonengradient im Chloroplasten; ATP-Synthase; ATP-Bildung; Vergleich des chemiosmotischen Prinzips mit dem Mitochondrium"
11.01.2027;Klausur;Klausur 1:;
18.01.2027;Stoffwechsel;Calvin-Zyklus;"CO₂-Fixierung; Reduktion und Regeneration im C-Körper-Schema; Verwendung von ATP und Reduktionsäquivalenten; keine unnötige Detailtiefe"
25.01.2027;Stoffwechsel;Abhängigkeit der Fotosyntheserate;"Lichtintensität, CO₂-Konzentration und Temperatur; limitierende Faktoren; experimentelle Daten/Diagramme planen, auswerten und interpretieren"
26.01.2027;Stoffwechsel;Fotosynthese und Zellatmung vernetzen;"Chloroplast ↔ Mitochondrium; Stoff- und Energiefluss; Aufbau-Funktions-Bezüge; chemiosmotische ATP-Bildung vergleichen; Transferaufgaben"
01.02.2027;Puffer;Puffer;
02.02.2027;Molekulare Genetik;DNA und RNA – Nukleinsäuren als Informationsträger;"Nukleotide; Zucker, Phosphat und Base; DNA-Doppelstrang; Komplementarität und Antiparallelität; DNA und RNA funktionell vergleichen; Modellarbeit"
15.02.2027;Molekulare Genetik;DNA-Replikation;"semikonservative Replikation; komplementäre Basenpaarung; Bedeutung vor der Zellteilung; kurze Wiederholung Zellzyklus/Mitose"
16.02.2027;Molekulare Genetik;Was ist ein Gen? – Gen, Allel und Merkmal;"moderner Genbegriff; Gen → Genprodukt → Merkmal; Genprodukte als RNA oder Protein; Genotyp/Phänotyp und Allele als Rückgriff auf Mendel"
22.02.2027;Molekulare Genetik;Proteinbiosynthese I – Transkription;"DNA → mRNA; Matrizenstrang; komplementäre RNA-Basen; Ort und Grundprinzip der Transkription"
01.03.2027;Molekulare Genetik;Der genetische Code;"Triplettcode; Codon; Codesonne/-tabelle; DNA-/mRNA-Sequenzen in Aminosäuresequenzen übersetzen"
02.03.2027;Molekulare Genetik;Proteinbiosynthese II – Translation;"Ribosom; mRNA; tRNA; Anticodon; Aminosäuren; Aufbau einer Polypeptidkette; Verbindung zu Proteinstruktur und -funktion"
08.03.2027;Molekulare Genetik;Vom Gen zum Merkmal;"Gesamtweg DNA → RNA → Protein → Funktion → Merkmal; Material- und Transferaufgaben; Genbegriff mit Proteinbiosynthese vernetzen"
15.03.2027;Molekulare Genetik;Genmutationen und ihre Folgen;"Veränderungen der DNA; mögliche Folgen für Codons und Aminosäuresequenz; stumme bzw. folgenlose Veränderungen mitdenken; Beispiel z. B. Sichelzellanämie"
16.03.2027;Molekulare Genetik;Differenzielle Genaktivität und Transkriptionsfaktoren;"identisches Genom – unterschiedliche Zelltypen; Genaktivität; Aktivierung/Hemmung der Transkription durch Transkriptionsfaktoren"
05.04.2027;Molekulare Genetik;DNA-Methylierung und Epigenetik;"DNA-Methylierung als Mechanismus veränderter Genaktivität; Zusammenhang mit Zelldifferenzierung und stabilen Genexpressionsmustern"
12.04.2027;Molekulare Genetik;Genregulation, Mutation und Krankheit;"Mutationen und gestörte Genregulation vernetzen; Krebs als mögliches Anwendungsbeispiel; Ursache-Wirkungs-Ketten analysieren"
13.04.2027;Molekulare Genetik;Molekulare Genetik – Vernetzung und Kompetenzsicherung;"Replikation → Genexpression → Protein → Merkmal → Mutation/Regulation; anspruchsvollere Material-, Modell- und Transferaufgaben"
19.04.2027;Angewandte Genetik;PCR – DNA gezielt vervielfältigen;"Grundprinzip; Denaturierung, Primeranlagerung und DNA-Synthese; zyklischer Ablauf; typische Anwendungen"
26.04.2027;Angewandte Genetik;Gelelektrophorese;"Trennung von DNA-Fragmenten; Bandenmuster lesen und interpretieren; Verbindung zur PCR und zu diagnostischen Anwendungen"
27.04.2027;Angewandte Genetik;Restriktionsenzyme, Plasmide und Methoden vernetzen;"spezifisches Schneiden von DNA; Plasmide als Vektoren; PCR, Gelelektrophorese und Restriktionsanalyse in kombinierten Aufgaben anwenden"
03.05.2027;Angewandte Genetik;Herstellung transgener Organismen;"Gen isolieren; übertragen und exprimieren; geeignete Organismen selektieren; Verfahren als Ablaufmodell darstellen"
10.05.2027;Angewandte Genetik;CRISPR-Cas als Genomeditierung;"Grundprinzip zielgerichteter DNA-Veränderung; Vergleich mit klassischer Herstellung transgener Organismen; Möglichkeiten und Grenzen"
11.05.2027;Angewandte Genetik;Gentechnisch veränderte Organismen bewerten;"Chancen, Nutzen und Risiken in Landwirtschaft, Medizin oder Industrie; Kriterien für sachlich begründete Bewertungen entwickeln"
31.05.2027;Angewandte Genetik;Familienstammbäume, Gentests und genetische Beratung;"Erbgänge analysieren; Ergebnisse von Gentests mit Stammbäumen verknüpfen; Wahrscheinlichkeiten sowie Möglichkeiten und Grenzen genetischer Aussagen"
07.06.2027;Angewandte Genetik;Somatische Gentherapie und ethische Bewertung;"Grundprinzip somatischer Gentherapie; Chancen und Grenzen; Abgrenzung zur Keimbahnveränderung als ethische Vertiefung; Sach- und Werteebene unterscheiden"
08.06.2027;Ökologie;Was ist ein Ökosystem?;"Ökosystem, Biotop und Biozönose; biotische und abiotische Umweltfaktoren; an einem konkreten lokalen Ökosystem vernetzen"
14.06.2027;Ökologie;Toleranz gegenüber Umweltfaktoren;"Toleranzkurve; Minimum, Maximum, Optimum und Präferendum; ökologische Potenz; Zeigerarten; Daten und Diagramme auswerten"
21.06.2027;Ökologie;Freilandpraktikum planen;"Fragestellung zu einem abiotischen Faktor; Hypothese; Messgröße; Artenverteilung; Stichprobe und Dokumentation planen"
22.06.2027;Ökologie;Ökologisches Freilandpraktikum;"z. B. Licht, Temperatur, Bodenfeuchte oder pH messen und mit der Artenverteilung in Beziehung setzen; Daten sauber erfassen"
28.06.2027;Ökologie;Freilanddaten auswerten und beurteilen;"Messdaten grafisch darstellen; Zusammenhänge zwischen Umweltfaktor und Artenvorkommen untersuchen; Zeigerarten einordnen; Aussagekraft und Fehlerquellen beurteilen"
05.07.2027;Ökologie;Die ökologische Nische;"Nische als Gesamtheit der Ansprüche und Beziehungen; Fundamental- und Realnische; Abgrenzung vom Lebensraum"
06.07.2027;Ökologie;Konkurrenz und Einnischung;"inter- und intraspezifische Konkurrenz; Konkurrenzausschluss; Konkurrenzvermeidung; Einnischung; Real- und Fundamentalnische anwenden"
12.07.2027;Ökologie;Wechselwirkungen zwischen Organismen;"Konkurrenz, Parasitismus und Symbiose anhand konkreter Beispiele vergleichen; Auswirkungen auf beteiligte Arten begründen"
